Tract,Population,VAP,Hispanic,Hispanic any race,NH_White,NH_Black,NH_AINA,NH_Asian,NH_NHPI,NH_some_other,NH_2+,CVAP
45019000900,1404,1182,1404,20,626,753,0,5,0,0,0,1172
45019001000,2582,2442,2582,11,1906,578,0,78,0,0,9,2392
45019001100,2718,2094,2718,15,1068,1608,0,5,0,0,22,2064
45019001500,1461,1262,1461,32,674,735,8,0,0,0,12,1233
45019001600,1862,1522,1862,87,1216,519,4,10,0,0,26,1460
45019001901,4392,3645,4392,60,3707,544,4,23,0,0,54,3616
45019001902,5068,4402,5068,67,4067,668,81,147,0,24,14,4077
45019002002,6746,5623,6746,84,5423,814,0,234,0,0,191,5486
45019002003,10008,8947,10008,38,6663,3087,0,59,0,0,161,8935
45019002004,1611,1519,1611,0,1611,0,0,0,0,0,0,1519
45019002005,7028,5281,7028,173,6405,155,0,272,0,0,23,5227
45019002006,5299,3994,5299,73,4213,842,13,81,0,0,77,3960
45019002007,3639,2843,3639,109,3413,7,0,47,0,0,63,2819
45019002101,14007,11891,14007,806,10627,2344,0,17,0,0,213,11598
45019002103,3518,2984,3518,220,2049,1234,0,0,0,0,15,2955
45019002104,1676,1646,1676,18,1605,22,0,25,0,0,6,1634
45019002105,1842,1807,1842,2,1807,10,4,19,0,0,0,1788
45019002200,2910,2336,2910,187,1040,1673,0,0,0,0,10,2299
45019002300,1670,1502,1670,57,1047,566,0,0,0,0,0,1455
45019002400,4849,3873,4849,174,1689,2961,0,0,0,0,25,3818
45019002502,7266,6014,7266,336,3597,3114,0,55,0,26,138,5870
45019002604,3359,2907,3359,42,2617,508,11,56,5,32,88,2819
45019002605,3923,3386,3923,160,2042,1534,0,101,0,36,50,3241
45019002606,2287,1893,2287,47,2092,107,0,9,0,0,32,1870
45019002611,2889,2553,2889,39,2344,426,0,41,0,0,39,2519
45019002612,6354,5066,6354,139,3031,3032,0,152,0,0,0,5002
45019002613,5810,4801,5810,150,3958,1255,0,258,0,0,189,4568
45019002614,3519,2847,3519,318,1894,969,0,87,193,0,58,2748
45019002701,2493,1979,2493,151,737,1538,0,22,0,0,45,1963
45019002702,4988,3733,4988,86,1896,2997,0,8,0,0,1,3703
45019002801,4568,3852,4568,234,3371,765,0,173,4,0,21,3728
45019002802,2606,2182,2606,69,2452,56,0,15,0,0,14,2167
45019002900,2788,2593,2788,13,1812,931,0,18,0,0,14,2569
45019003000,3614,3000,3614,31,3496,2,0,85,0,0,0,2933
45019003104,4999,3536,4999,2073,961,1840,0,74,0,0,51,2279
45019003105,4381,2837,4381,1955,677,1607,0,7,0,0,135,1881
45019003106,9437,7162,9437,304,4248,4227,38,159,0,0,461,7114
45019003107,5515,4549,5515,397,1795,3092,0,85,0,0,146,4468
45019003108,3784,2977,3784,302,1049,2253,44,89,0,0,47,2701
45019003109,3192,2502,3192,267,1658,1016,17,131,0,80,23,2310
45019003110,6751,5000,6751,1124,2953,2389,128,42,0,0,115,4587
45019003111,4161,3601,4161,708,887,2429,0,0,0,0,137,3424
45019003113,3740,2856,3740,410,1608,1253,48,90,0,111,220,2648
45019003114,8849,7020,8849,277,5243,2612,0,216,0,120,381,6697
45019003115,8846,6301,8846,437,3836,3672,21,182,5,0,693,5997
45019003200,1649,1085,1649,140,1083,232,0,12,5,0,177,1065
45019003300,4359,3143,4359,670,643,3042,0,0,4,0,0,2851
45019003400,4699,3320,4699,1114,925,2556,16,21,0,0,67,2822
45019003500,3142,2595,3142,101,2565,249,77,0,0,0,150,2513
45019003600,2723,2284,2723,235,1962,461,0,0,0,0,65,2210
45019003700,3593,2755,3593,123,580,2847,0,21,0,0,22,2621
45019003800,3774,2821,3774,167,419,3110,0,43,0,0,35,2756
45019003900,5376,4835,5376,400,2028,2697,0,9,53,0,189,4566
45019004000,2849,1998,2849,154,146,2457,5,0,0,0,87,1969
45019004300,2733,1992,2733,75,219,2335,0,0,0,77,27,1903
45019004400,2276,1761,2276,99,397,1759,0,21,0,0,0,1649
45019004606,10271,8438,10271,332,8974,770,0,14,0,20,161,8201
45019004607,5627,4862,5627,64,4983,76,53,252,0,0,199,4342
45019004608,29512,20404,29512,758,26908,1143,18,336,0,0,349,19832
45019004609,7996,6177,7996,315,6134,1326,43,144,0,0,34,5996
45019004610,4283,3297,4283,190,3629,404,0,11,0,0,49,3258
45019004611,9600,7857,9600,249,8091,762,0,390,0,0,108,7517
45019004612,7240,5819,7240,210,6010,541,46,117,0,0,316,5775
45019004613,1754,1339,1754,0,1546,132,17,21,0,16,22,1339
45019004614,7715,5549,7715,152,6780,591,0,127,0,0,65,5426
45019004701,6178,4860,6178,132,5110,542,0,126,0,0,268,4561
45019004702,2501,2140,2501,133,2215,49,0,32,0,0,72,2093
45019004800,2203,1760,2203,28,2122,5,0,26,0,0,22,1722
45019004901,1850,1570,1850,29,1706,0,0,9,0,0,106,1559
45019004902,2510,2007,2510,52,2343,0,0,89,0,0,26,1941
45019005000,5141,4261,5141,35,2150,2902,0,43,0,0,11,4222
45019005100,1350,1286,1350,156,960,191,6,5,0,0,32,1181
45019005200,4894,4555,4894,209,3605,878,8,77,0,11,106,4485
45019005300,3259,2721,3259,76,1088,2056,0,0,0,14,25,2665
45019005400,2614,1804,2614,23,388,2179,7,0,0,0,17,1785
45019005500,1497,1143,1497,15,173,1233,0,0,0,0,76,1143
45019005600,13568,10922,13568,892,9610,2418,0,309,0,0,339,10517
45019005700,8881,7413,8881,139,7457,938,0,246,0,46,55,7295
45019005800,7228,6029,7228,440,4978,1536,0,175,0,14,85,5901
45019990100,0,0,0,0,0,0,0,0,0,0,0,0
45021970100,7990,6249,7990,269,7387,261,0,54,0,0,19,6230
45021970201,3395,2687,3395,95,2370,850,0,8,0,0,72,2679
45021970202,7510,5531,7510,718,5304,1391,0,88,9,0,0,5243
45021970301,4234,3224,4234,92,1783,2142,0,0,0,0,217,3209
45021970302,4151,3052,4151,212,2071,1796,0,24,0,0,48,2936
45021970401,3740,2767,3740,4,2942,520,31,7,0,0,236,2767
45021970402,6239,4963,6239,435,5173,435,6,7,16,0,167,4739
45021970501,1993,1555,1993,12,1526,447,0,0,0,0,8,1555
45021970502,5076,3852,5076,233,2006,2560,22,0,0,0,255,3812
45021970503,1432,1012,1432,71,1300,22,0,30,0,0,9,977
45021970601,4241,3563,4241,13,3336,807,0,17,0,0,68,3531
45021970602,2877,2130,2877,33,2667,106,0,5,0,0,66,2130
45021970700,4017,3088,4017,292,3543,57,0,92,0,16,17,3012
45023020100,1684,1254,1684,11,712,908,13,11,0,0,29,1248
45023020200,3002,2377,3002,13,1062,1896,0,0,0,0,31,2377
45023020300,3548,2769,3548,39,860,2649,0,0,0,0,0,2761
45023020400,2545,2148,2545,40,1510,971,0,0,0,0,24,2092
45023020500,2874,2278,2874,0,1907,927,14,0,0,0,26,2278
45023020601,2171,1874,2171,0,1778,353,0,36,0,0,4,1870
45023020602,4498,3369,4498,297,2848,1275,33,0,0,10,35,3361
45023020700,2158,1647,2158,146,1416,496,0,0,0,0,100,1628
45023020800,5350,3849,5350,84,4218,985,0,18,0,4,41,3831
45023020900,2150,1766,2150,0,1406,547,93,0,0,0,104,1766
45023021000,2331,1710,2331,23,1237,941,0,0,0,0,130,1697
45025950101,4932,3888,4932,571,3114,1024,0,0,0,0,223,3691
45025950102,4094,2973,4094,463,1856,1552,17,20,0,0,186,2789
45025950200,4968,3713,4968,258,3353,1037,75,19,0,0,226,3685
45025950300,2815,2265,2815,39,1685,881,0,2,21,22,165,2250
45025950400,7582,6098,7582,20,5224,2180,0,24,12,0,122,6056
45025950501,2377,1838,2377,137,962,1245,0,0,0,0,33,1838
45025950502,6022,4921,6022,79,2966,2732,0,150,0,0,95,4778
45025950600,5429,4090,5429,231,2902,2286,0,0,0,0,10,4061
45025950700,4846,3822,4846,101,4058,586,0,15,0,0,86,3755
45025950800,2888,2145,2888,86,1587,1073,47,0,0,0,95,2104
45027960100,3758,2854,3758,136,2729,849,0,7,0,0,37,2753
45027960201,1824,1422,1824,34,972,761,0,0,0,0,57,1415
45027960202,1218,1218,1218,8,366,840,0,0,0,0,4,1210
45027960300,2059,1684,2059,66,1043,945,0,0,0,0,5,1664
45027960400,2398,2043,2398,49,1053,1216,0,47,0,0,33,2015
45027960500,4784,3475,4784,402,866,3499,0,0,0,0,17,3275
45027960600,2617,1939,2617,172,921,1471,0,43,0,10,0,1912
45027960701,3997,3029,3997,96,2092,1587,8,102,0,0,112,3000
45027960702,1124,857,1124,36,623,443,0,0,0,0,22,857
45027960703,3564,3222,3564,20,2968,500,0,0,0,0,76,3174
45027960801,3287,2815,3287,14,783,2472,12,2,0,0,4,2802
45027960802,3327,2772,3327,21,1789,1455,10,0,0,0,52,2772
45029970100,1623,1301,1623,52,714,815,23,0,0,6,13,1301
45029970200,1309,1131,1309,42,763,412,0,45,0,0,47,1121
45029970300,6258,4767,6258,390,2557,3197,33,0,0,50,31,4552
45029970401,3866,3074,3866,0,2940,926,0,0,0,0,0,3074
45029970402,3483,2632,3483,40,2587,832,0,0,0,0,24,2595
45029970500,5040,3778,5040,21,2338,2664,0,0,0,0,17,3778
45029970600,7756,5892,7756,434,3858,3184,114,0,0,0,166,5779
45029970700,6464,4896,6464,226,4386,1700,134,0,0,0,18,4888
45029970800,1786,1687,1786,0,1130,645,0,4,0,0,7,1682
45029990100,0,0,0,0,0,0,0,0,0,0,0,0
45031010100,2707,2240,2707,20,1104,1529,0,0,9,0,45,2240
45031010200,5706,4464,5706,139,4906,514,84,0,0,0,63,4464
45031010300,5378,4103,5378,155,3771,1384,33,35,0,0,0,4012
45031010400,6004,4873,6004,173,4972,809,0,0,0,0,50,4857
45031010500,2661,2117,2661,38,1879,701,0,38,0,0,5,2072
45031010600,5293,3814,5293,68,1886,3118,0,136,0,0,85,3790
45031010700,2728,1895,2728,12,37,2671,0,0,8,0,0,1895
45031010800,2585,2043,2585,0,1542,1034,0,0,0,0,9,2043
45031010900,7274,5516,7274,263,3817,2877,15,10,0,0,292,5459
45031011000,3125,2532,3125,0,1885,1145,5,0,0,0,90,2517
45031011100,1945,1559,1945,40,1094,775,0,0,0,0,36,1550
45031011200,4377,3506,4377,193,2150,1971,21,0,0,0,42,3424
45031011300,5218,4144,5218,228,2263,2624,0,0,0,0,103,4080
45031011400,4296,3320,4296,13,1089,3094,0,0,0,0,100,3296
45031011500,4255,3153,4255,26,2308,1906,0,0,0,0,15,3127
45031011600,3475,2717,3475,0,1987,1358,0,28,0,0,102,2717
45033970100,3475,2688,3475,260,1041,1923,170,1,0,0,80,2586
45033970200,5629,4061,5629,414,2528,2477,145,0,0,0,65,3940
45033970300,5441,4050,5441,42,2916,2272,125,0,0,0,86,4050
45033970400,4757,3509,4757,82,1065,3499,80,0,0,0,31,3394
45033970500,3848,3107,3848,11,2290,1166,14,0,0,0,367,3107
45033970600,7539,5466,7539,39,4152,3293,26,21,0,0,8,5402
45035010100,2358,1958,2358,12,1273,1036,0,2,0,0,35,1958
45035010200,5082,4105,5082,150,2113,2638,11,0,0,0,170,4070
45035010300,6380,5069,6380,33,3548,2636,25,33,0,2,103,5061
45035010400,7002,5745,7002,336,3616,2555,146,0,0,0,349,5597
